"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Bridgend","W06000013","Total",139178,78355,76625,357,270,33,529,46,495,51062,9761
"2011","Vale of Glamorgan","W06000014","Total",126336,75487,73384,356,269,90,785,75,528,41556,9293
"2011","Cardiff","W06000015","Total",346090,211350,177743,1690,4736,802,23656,1317,1406,109960,24780
"2011","Rhondda Cynon Taff","W06000016","Total",234410,121508,118388,518,401,87,1061,183,870,95549,17353
"2011","Merthyr Tydfil","W06000024","Total",58802,33626,32948,124,80,4,197,52,221,21048,4128
"2011","Caerphilly","W06000018","Total",178806,92398,90669,278,174,69,391,152,665,73084,13324
"2011","Blaenau Gwent","W06000019","Total",69814,35468,34805,112,72,8,179,39,253,28676,5670
"2011","Torfaen","W06000020","Total",91075,51561,50472,222,241,16,238,56,316,32605,6909
"2011","Monmouthshire","W06000021","Total",91323,58274,57101,269,162,65,239,47,391,26018,7031
"2011","Newport","W06000022","Total",145736,91465,82858,360,685,99,6859,141,463,43336,10935
